date,open,high,low,close,adjusted_close,volume,dividend_amount
2025-05-09,203.1,204.1,193.25,198.53,198.53,275784672,0.0
2025-05-02,210.0,214.56,202.16,205.35,205.35,286233457,0.0
2025-04-25,193.265,209.75,189.8112,209.28,209.28,238181320,0.0
2025-04-17,211.44,212.94,192.37,196.98,196.98,264593881,0.0
2025-04-11,177.2,200.61,169.2101,198.15,198.15,675037558,0.0
2025-04-04,217.005,225.62,187.34,188.38,188.38,366947884,0.0
2025-03-28,221.0,225.02,217.68,217.9,217.9,190239113,0.0
2025-03-21,213.31,218.84,209.97,218.27,218.27,287881958,0.0
2025-03-14,235.54,236.16,208.42,213.49,213.49,331612070,0.0
2025-03-07,241.79,244.0272,229.23,239.07,239.07,239653674,0.0
2025-02-28,244.925,250.0,230.2,241.84,241.84,241760231,0.0
2025-02-21,244.15,248.69,241.84,245.55,245.55,166541044,0.0
2025-02-14,229.57,245.55,227.2,244.6,244.6,226587580,0.25
2025-02-07,229.99,234.0,225.7,227.63,227.3803,227428164,0.0
2025-01-31,224.02,247.19,223.98,236.0,235.7411,372790494,0.0
2025-01-24,224.0,227.03,219.38,222.78,222.5356,277129596,0.0
2025-01-17,233.53,238.96,228.03,229.98,229.7277,269145341,0.0
2025-01-10,244.31,247.33,233.0,236.85,236.5902,185241327,0.0
2025-01-03,252.23,253.5,241.8201,243.36,243.093,171023105,0.0
2024-12-27,254.77,260.1,253.06,255.59,255.3096,133711783,0.0
2024-12-20,247.99,255.0,245.69,254.49,254.2108,368202745,0.0
2024-12-13,241.83,250.8,241.75,248.13,247.8578,192702674,0.0
2024-12-06,237.27,244.63,237.16,242.84,242.5736,208286552,0.0
2024-11-29,231.46,237.81,229.74,237.33,237.0697,198118837,0.0
2024-11-22,225.25,230.7199,225.17,229.87,229.6178,196343939,0.0
2024-11-15,225.0,228.87,221.5,225.0,224.7532,223817755,0.0
2024-11-08,220.99,228.66,219.71,226.96,226.711,208083442,0.25
2024-11-01,233.32,234.73,220.27,222.91,222.4205,248222115,0.0
