date,open,high,low,close,adjusted_close,volume,dividend_amount
2025-05-09,251.18,255.88,248.83,253.08,253.08,33952702,0.0
2025-05-02,244.56,253.6187,238.43,252.51,252.51,43457407,0.0
2025-04-25,230.63,246.79,226.336,243.55,243.55,51188103,0.0
2025-04-17,237.1,239.78,227.93,231.96,231.96,42810978,0.0
2025-04-11,205.77,238.575,202.16,236.2,236.2,105603344,0.0
2025-04-04,239.41,247.245,208.93,210.28,210.28,73775587,1.4
2025-03-28,245.48,254.67,241.11,242.85,241.2438,51496503,0.0
2025-03-21,231.18,242.33,230.455,241.63,240.0319,57706857,0.0
2025-03-14,236.21,237.51,224.23,232.44,230.9027,81357533,0.0
2025-03-07,264.0,266.32,239.42,242.28,240.6776,60867330,0.0
2025-02-28,265.49,267.0,253.35,264.65,262.8997,44596348,0.0
2025-02-21,276.76,280.25,262.84,264.24,262.4924,41609283,0.0
2025-02-14,276.15,279.2334,269.59,276.59,274.7607,36594916,0.0
2025-02-07,261.83,278.55,261.7009,275.8,273.9759,33834010,0.0
2025-01-31,264.17,270.82,262.26,267.3,265.5321,38532253,0.0
2025-01-24,260.07,267.1,259.5037,264.84,263.0884,41149970,0.0
2025-01-17,239.67,260.62,239.0,259.16,257.446,73831670,0.0
2025-01-10,243.695,245.69,238.74,239.87,238.2836,37603306,1.25
2025-01-03,238.77,244.88,237.11,243.28,240.4232,29306703,0.0
2024-12-27,236.07,243.39,234.88,241.17,238.338,22523395,0.0
2024-12-20,240.61,240.67,229.53,237.6,234.8099,72577224,0.0
2024-12-13,247.13,247.96,239.1437,239.94,237.1224,40575767,0.0
2024-12-06,249.55,250.25,242.23,247.36,244.4553,34995974,0.0
2024-11-29,249.59,254.31,248.34,249.72,246.7876,27474582,0.0
2024-11-22,247.76,249.15,238.64,248.55,245.6313,41641348,0.0
2024-11-15,240.0,246.42,238.76,245.31,242.4294,49041630,0.0
2024-11-08,222.65,248.0,219.17,236.98,234.1972,63771198,0.0
2024-11-01,223.35,226.75,221.58,222.94,220.3221,35287285,0.0
2024-10-25,225.22,225.7,220.875,222.31,219.6995,34009202,0.0
2024-10-18,223.2,225.92,218.88,225.37,222.7235,38137994,0.0
2024-10-11,211.03,224.6299,208.38,222.29,219.6797,46012369,0.0
2024-10-04,206.31,211.67,204.34,211.22,208.7397,40484049,1.25
2024-09-27,211.0,212.95,208.61,210.5,206.8043,38363180,0.0
2024-09-20,205.83,211.91,205.59,211.09,207.3839,56988299,0.0
2024-09-13,215.19,218.64,200.61,204.32,200.7328,70283170,0.0
2024-09-06,222.3,224.1,211.09,212.46,208.7299,32146621,0.0
2024-08-30,219.01,225.48,218.05,224.8,220.8532,31787145,0.0
2024-08-23,214.0,219.19,212.84,218.31,214.4772,29394592,0.0
2024-08-16,206.41,214.09,203.66,213.97,210.2134,35255944,0.0
2024-08-09,194.05,206.47,190.9,205.8,202.1868,47038650,0.0
2024-08-02,212.65,216.39,196.89,199.14,195.6437,53416298,0.0
2024-07-26,210.46,213.16,208.05,212.24,208.5137,34771003,0.0
2024-07-19,207.19,217.56,206.72,209.78,206.0969,54360181,0.0
2024-07-12,205.04,209.76,202.1,204.94,201.3419,52206096,0.0
2024-07-05,202.84,210.38,202.66,204.79,201.1945,31662793,1.15
2024-06-28,197.81,202.6,196.275,202.26,197.5993,47681489,0.0
2024-06-21,193.48,199.45,192.64,196.3,191.7767,47451973,0.0
2024-06-14,199.24,200.84,190.88,193.78,189.3147,43519647,0.0
2024-06-07,202.31,202.42,195.33,199.95,195.3426,36249031,0.0
2024-05-31,199.86,203.3,196.89,202.63,197.9608,34277855,0.0
2024-05-24,204.39,205.88,195.4,200.71,196.085,56645068,0.0
2024-05-17,198.8,205.05,198.04,204.79,200.071,41773808,0.0
2024-05-10,191.73,199.3399,189.815,198.77,194.1897,40334547,0.0
2024-05-03,193.48,194.99,188.46,190.51,186.1201,36435945,0.0
2024-04-26,185.99,194.87,185.98,193.49,189.0314,43854865,0.0
2024-04-19,184.5,187.46,179.2,185.8,181.5186,63195519,0.0
2024-04-12,197.62,198.98,182.54,182.79,178.578,63753518,0.0
2024-04-05,199.99,200.94,195.11,197.45,192.9002,37874303,1.15
2024-03-28,196.6,200.72,194.0554,200.3,194.541,31935569,0.0
2024-03-22,190.63,200.48,189.89,196.62,190.9668,46172239,0.0
2024-03-15,187.28,191.73,186.22,190.3,184.8285,46408788,0.0
2024-03-08,184.71,190.5,184.27,188.22,182.8083,35044804,0.0
2024-03-01,183.75,186.44,182.24,185.29,179.9626,34949072,0.0
2024-02-23,179.19,185.2,178.405,183.99,178.7,33098108,0.0
2024-02-16,174.78,180.21,172.615,179.03,173.8826,40869648,0.0
2024-02-09,173.86,175.87,172.92,175.01,169.9781,34168336,0.0
2024-02-02,172.24,178.3,171.3,174.73,169.7062,47277724,0.0
2024-01-26,170.46,173.06,168.44,172.28,167.3266,47134910,0.0
2024-01-19,164.87,170.57,164.3,170.31,165.4133,50811805,0.0
2024-01-12,172.02,176.31,168.6401,169.05,164.1895,62179766,0.0
2024-01-05,169.09,173.38,168.91,172.27,167.3169,41840689,1.05
2023-12-29,167.46,170.69,167.18,170.1,164.2035,23117408,0.0
2023-12-22,165.92,169.41,165.55,167.4,161.5971,42649319,0.0
2023-12-15,158.52,165.28,158.15,165.23,159.5023,64648322,0.0
2023-12-08,156.02,159.22,155.88,158.52,153.0249,43525699,0.0
2023-12-01,153.43,157.86,152.71,156.84,151.4031,40753897,0.0
2023-11-24,152.08,154.438,151.92,153.54,148.2175,22775931,0.0
2023-11-17,145.7,152.86,145.16,152.82,147.5225,40909635,0.0
2023-11-10,143.17,146.48,142.79,146.43,141.354,37517559,0.0
2023-11-03,136.44,143.77,136.04,143.0,138.0429,48684942,0.0
2023-10-27,142.94,143.68,135.19,135.69,130.9863,53801477,0.0
2023-10-20,149.45,149.52,142.12,142.95,137.9946,58242955,0.0
2023-10-13,143.66,153.11,143.5005,148.0,142.8696,66923486,0.0
2023-10-06,144.83,145.88,140.83,145.1,140.0701,45577368,1.05
2023-09-29,145.35,148.87,143.7,145.02,138.9717,42016788,0.0
2023-09-22,148.16,150.25,145.19,145.73,139.6521,36917608,0.0
2023-09-15,144.75,149.895,143.69,148.81,142.6037,53441613,0.0
2023-09-08,147.16,148.2099,142.65,143.83,137.8314,31967895,0.0
2023-09-01,147.57,149.15,145.7,146.82,140.6967,36545915,0.0
2023-08-25,149.65,150.105,145.46,147.05,140.9171,39096574,0.0
2023-08-18,153.61,154.9178,147.4437,148.97,142.757,40794192,0.0
2023-08-11,156.6,157.7,152.59,154.45,148.0084,33328790,0.0
2023-08-04,157.18,159.38,153.94,156.02,149.513,36350682,0.0
2023-07-28,154.97,158.785,154.73,156.91,150.3658,52939077,0.0
2023-07-21,150.35,156.59,150.35,154.95,148.4876,63836404,0.0
2023-07-14,144.5,152.89,144.5,149.77,143.5236,69952234,0.0
2023-07-07,146.19,147.48,141.4401,144.34,138.3201,35652697,1.0
2023-06-30,138.87,146.0,137.69,145.44,138.4172,53778441,0.0
2023-06-23,142.61,144.02,137.62,138.85,132.1454,38353331,0.0
2023-06-16,141.07,143.965,139.76,143.26,136.3425,47527100,0.0
2023-06-09,140.11,141.8,138.13,141.01,134.2011,41746819,0.0
2023-06-02,136.8,141.48,134.4044,140.47,133.6872,46321329,0.0
2023-05-26,141.0,141.64,134.58,136.94,130.3277,46547816,0.0
2023-05-19,134.27,140.49,133.96,139.18,132.4595,51326086,0.0
2023-05-12,137.49,138.06,133.13,134.1,127.6248,40007736,0.0
2023-05-05,142.26,143.37,131.81,136.74,130.1373,75810673,0.0
2023-04-28,140.455,141.1,134.0,138.24,131.5649,51364253,0.0
2023-04-21,139.95,141.78,137.66,140.54,133.7538,61308360,0.0
2023-04-14,126.54,139.12,126.22,138.73,132.0312,88196124,0.0
2023-04-06,129.91,131.44,126.46,127.47,121.3149,41730216,1.0
2023-03-31,126.79,130.34,126.29,130.31,123.0535,69509551,0.0
2023-03-24,126.99,131.73,123.11,124.91,117.9542,96938037,0.0
2023-03-17,131.21,135.53,125.45,125.81,118.8041,169796424,0.0
2023-03-10,143.44,144.04,127.82,133.65,126.2075,94499175,0.0
2023-03-03,142.11,143.76,139.54,143.66,135.6601,48794178,0.0
2023-02-24,140.69,141.36,137.435,140.93,133.0821,38298682,0.0
2023-02-17,141.3,143.89,140.07,142.24,134.3192,39229313,0.0
2023-02-10,140.23,144.34,138.59,141.04,133.186,38838046,0.0
2023-02-03,139.23,142.33,138.0,141.09,133.2332,48083135,0.0
2023-01-27,135.115,141.255,134.82,140.32,132.5061,41376703,0.0
2023-01-20,141.17,141.54,133.55,135.08,127.5579,54081345,0.0
2023-01-13,138.6,143.49,134.8,143.01,135.0463,57436373,0.0
2023-01-06,135.24,138.38,133.7004,137.94,130.2586,41152762,1.0
2022-12-30,131.57,134.33,130.55,134.1,125.7037,30116476,0.0
2022-12-23,129.65,132.98,128.41,131.28,123.0603,39361823,0.0
2022-12-16,132.4,137.09,128.425,129.29,121.1949,62057122,0.0
2022-12-09,134.24,135.11,129.87,132.16,123.8852,52725722,0.0
2022-12-02,136.07,138.66,133.19,135.16,126.6974,50384650,0.0
2022-11-25,133.74,137.14,132.75,136.74,128.1784,27522887,0.0
2022-11-18,134.8,135.73,131.28,133.84,125.46,51310404,0.0
2022-11-11,131.0,136.17,129.22,135.3,126.8286,58445424,0.0
2022-11-04,125.7,130.83,125.59,130.68,122.4979,70056914,0.0
2022-10-28,122.07,126.28,120.89,126.08,118.1859,58171856,0.0
2022-10-21,115.41,122.39,114.32,122.23,114.5769,93688734,0.0
2022-10-14,106.73,115.24,101.28,111.19,104.2282,90671236,0.0
2022-10-07,105.62,112.99,104.46,105.98,99.3444,62407728,1.0
2022-09-30,108.0,109.605,104.398,104.5,97.0776,69997130,0.0
2022-09-23,116.0,118.73,107.16,109.14,101.3881,60090487,0.0
2022-09-16,120.62,121.55,114.88,117.08,108.7641,56530497,0.0
2022-09-09,114.33,120.05,112.07,119.17,110.7057,41121030,0.0
2022-09-02,114.0,117.45,111.91,113.71,105.6335,49915456,0.0
2022-08-26,116.75,119.99,114.45,114.67,106.5253,48380995,0.0
2022-08-19,121.14,124.2389,118.11,118.63,110.204,49156724,0.0
2022-08-12,116.25,122.25,114.18,122.13,113.4554,55012168,0.0
2022-08-05,114.5,116.1899,111.0214,115.76,107.5379,76286255,0.0
2022-07-29,115.84,116.5,113.03,115.36,107.1663,52672920,0.0
2022-07-22,114.77,116.25,111.29,114.76,106.6089,56749114,0.0
2022-07-15,113.55,115.18,106.06,112.95,104.9275,77244105,0.0
2022-07-08,110.77,115.65,109.3,114.36,106.2373,42327012,1.0
2022-07-01,118.06,119.29,110.93,114.05,105.0168,57980624,0.0
2022-06-24,115.865,117.82,111.48,117.32,108.0278,48221688,0.0
2022-06-17,116.86,117.95,111.87,113.03,104.0776,91891744,0.0
2022-06-10,131.09,132.39,119.32,119.55,110.0812,52984974,0.0
2022-06-03,130.18,133.15,128.67,130.16,119.8509,44753881,0.0
2022-05-27,120.46,131.27,120.45,131.27,120.873,83650735,0.0
2022-05-20,118.54,122.97,115.02,117.34,108.0463,60009956,0.0
