date,open,high,low,close,adjusted_close,volume
2025-05-09,560.37,570.31,556.04,564.34,564.34,369294789
2025-04-30,557.45,567.42,481.8,554.54,554.54,2237015141
2025-03-31,596.18,597.34,546.87,559.39,559.39,1494729980
2025-02-28,592.67,613.23,582.44,594.18,592.399,871641461
2025-01-31,589.39,610.78,575.35,601.82,600.0161,995605958
2024-12-31,602.97,609.07,580.91,586.08,584.3233,1059636545
2024-11-29,571.32,603.35,567.89,602.55,598.7531,901761281
2024-10-31,573.4,586.12,565.27,568.64,565.0568,976134821
2024-09-30,560.47,574.71,539.44,573.76,570.1445,1044167074
2024-08-30,552.57,564.2,510.27,563.68,558.4127,1244598926
2024-07-31,545.63,565.16,537.45,550.81,545.663,1038489736
2024-06-28,529.02,550.28,522.6,544.22,539.1346,888923206
2024-05-31,501.38,533.07,499.55,527.37,520.7597,1153296957
2024-04-30,523.83,524.38,493.86,501.98,495.688,1586426473
2024-03-28,508.98,524.61,504.91,523.07,516.5136,1463191348
2024-02-29,484.63,510.13,483.8,508.08,500.1469,1393617806
2024-01-31,472.16,491.62,466.43,482.88,475.3403,1698148385
2023-12-29,455.77,477.55,454.31,475.31,467.8885,1634337932
2023-11-30,419.2,458.32,418.6499,456.4,447.4566,1500345254
2023-10-31,426.62,438.14,409.21,418.2,410.0051,1999352275
2023-09-29,453.17,453.67,422.29,427.48,419.1033,1589390585
2023-08-31,456.27,457.25,433.01,450.35,439.9541,1755315375
2023-07-31,442.92,459.44,437.06,457.79,447.2224,1374774872
2023-06-30,418.09,444.3,416.79,443.28,433.0474,1749958214
2023-05-31,415.47,422.58,403.74,417.85,406.6882,1776447412
2023-04-28,408.85,415.94,403.78,415.93,404.8195,1392713656
2023-03-31,395.41,409.7,380.65,409.39,398.4542,2516860295
2023-02-28,405.211,418.31,393.64,396.26,384.1911,1603224252
2023-01-31,384.37,408.16,377.831,406.48,394.0998,1575449950
2022-12-30,408.77,410.49,374.77,382.43,370.7823,1735973711
2022-11-30,390.14,407.68,368.79,407.68,393.4346,1746114943
2022-10-31,361.08,389.52,348.11,386.21,372.7149,2024731829
2022-09-30,392.89,411.73,357.04,357.18,344.6992,1995062808
2022-08-31,409.15,431.73,395.04,395.18,379.7989,1442452663
2022-07-29,376.56,413.03,371.04,411.99,395.9546,1437748370
2022-06-30,415.17,417.44,362.17,377.25,362.5667,1958752731
2022-05-31,412.07,429.66,380.54,412.93,395.1549,2415337241
2022-04-29,453.31,457.83,411.21,412.0,394.2649,1850850552
2022-03-31,435.04,462.07,415.12,451.64,432.1986,2374192157
2022-02-28,450.68,458.12,410.64,436.63,416.5546,2295905184
2022-01-31,476.3,479.98,420.76,449.91,429.224,2478637614
2021-12-31,461.64,479.0,448.92,474.96,453.1223,1926485453
2021-11-30,460.3,473.54,455.3,455.56,433.0759,1329958701
2021-10-29,430.98,459.56,426.36,459.25,436.5838,1508665331
2021-09-30,452.56,454.05,428.78,429.14,407.9599,1745953627
2021-08-31,440.34,453.07,436.1,451.56,427.889,1253428256
2021-07-30,428.87,441.8,421.97,438.51,415.523,1420579578
2021-06-30,422.57,428.78,414.7,428.06,405.6208,1281016394
2021-05-28,419.43,422.815,404.0,420.04,396.7058,1527034281
2021-04-30,398.4,420.72,398.18,417.3,394.118,1462173411
2021-03-31,385.59,398.12,371.88,396.33,374.3129,2401881132
2021-02-26,373.72,394.17,370.376,380.36,358.0554,1297509572
2021-01-29,375.31,385.85,364.82,370.07,348.3688,1400691918
2020-12-31,365.57,378.46,362.03,373.88,351.9554,1342397107
2020-11-30,330.2,364.38,327.24,362.06,339.3761,1534447743
2020-10-30,337.69,354.02,322.6,326.54,306.0815,1629408336
2020-09-30,350.21,358.75,319.8,334.89,313.9083,1815146487
2020-08-31,328.32,351.3,327.73,349.31,326.1041,1044798905
2020-07-31,309.57,327.23,309.07,326.52,304.8281,1502719470
2020-06-30,303.62,323.41,296.74,308.36,287.8745,2347940437
2020-05-29,285.31,306.84,272.99,304.32,282.8509,1901783412
2020-04-30,247.98,294.88,243.9,290.48,269.9872,2798273802
2020-03-31,298.21,313.84,218.26,257.75,239.5663,5888710884
2020-02-28,323.35,339.08,285.54,296.26,273.6782,2099672006
