,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2025-05-09,562.5700,570.3100,556.0400,564.3400,564.3400,245391373,0.0000
2025-05-02,551.3900,568.3800,541.5200,566.7600,566.7600,312393755,0.0000
2025-04-25,521.1600,551.0500,508.4600,550.6400,550.6400,361176912,0.0000
2025-04-17,544.0500,544.2800,520.2900,526.4100,526.4100,288279764,0.0000
2025-04-11,489.1900,548.6200,481.8000,533.9400,533.9400,924492812,0.0000
2025-04-04,549.8300,567.4200,505.0600,505.2800,505.2800,569903527,0.0000
2025-03-28,570.8000,576.4100,555.0700,555.6600,555.6600,263178329,0.0000
2025-03-21,562.7900,570.9500,558.0300,563.9800,563.9800,328327275,1.6955
2025-03-14,567.5900,569.5400,549.6800,562.8100,561.1231,391514540,0.0000
2025-03-07,596.1800,597.3400,565.6300,575.9200,574.1938,416381623,0.0000
2025-02-28,602.0200,603.0300,582.4400,594.1800,592.3990,315266033,0.0000
2025-02-21,610.8800,613.2300,599.4700,599.9400,598.1418,170833922,0.0000
2025-02-14,604.0300,610.9900,598.5100,609.7000,607.8725,169013275,0.0000
2025-02-07,592.6700,608.1300,590.4900,600.7700,598.9693,216528231,0.0000
2025-01-31,594.8100,609.9600,594.6400,601.8200,600.0161,257924602,0.0000
2025-01-24,600.6700,610.7800,598.6700,607.9700,606.1477,166485621,0.0000
2025-01-17,575.7700,599.3600,575.3500,597.5800,595.7888,254621089,0.0000
2025-01-10,596.2700,599.7000,578.5500,580.4900,578.7501,228482212,0.0000
2025-01-03,587.8900,592.6000,580.5000,591.9500,590.1757,201723845,0.0000
2024-12-27,590.8900,602.4800,587.6610,595.0100,593.2265,197104126,0.0000
2024-12-20,606.0000,607.7795,580.9100,591.1500,589.3781,419353579,1.9655
2024-12-13,607.6900,608.4350,602.1300,604.2100,600.4027,168103518,0.0000
2024-12-06,602.9700,609.0700,602.3410,607.8100,603.9800,161443911,0.0000
2024-11-29,599.5200,603.3500,595.2000,602.5500,598.7531,152158584,0.0000
2024-11-22,586.2200,596.1500,584.0300,595.5100,591.7575,221505378,0.0000
2024-11-15,599.8100,600.1700,583.8600,585.7500,582.0590,242874416,0.0000
2024-11-08,571.1800,599.6400,567.8900,598.1900,594.4206,239555370,0.0000
2024-11-01,582.5800,583.3200,568.4400,571.0400,567.4417,220360188,0.0000
2024-10-25,583.8500,584.8500,574.4150,579.0400,575.3913,202185455,0.0000
2024-10-18,581.2200,586.1200,578.5450,584.5900,580.9063,192956802,0.0000
2024-10-11,571.3000,580.3300,566.6300,579.5800,575.9279,211681681,0.0000
2024-10-04,570.4200,574.3800,565.2700,572.9800,569.3694,258273676,0.0000
