,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2025-05-09,41.4200,42.1050,41.1550,41.6100,41.6100,26884455,0.0000
2025-04-30,41.9900,42.1750,35.7600,41.3000,41.3000,198452210,0.0000
2025-03-31,43.3000,43.8613,40.6025,41.8500,41.8500,125449290,0.2636
2025-02-28,41.0800,43.2450,40.6800,43.1500,42.8797,95455271,0.0000
2025-01-31,40.7200,42.0050,39.0500,41.4200,41.1606,120794017,0.0000
2024-12-31,44.7500,44.8300,39.9250,40.6700,40.4152,107848463,0.4336
2024-11-29,43.4900,45.4821,42.1900,45.0000,44.2449,108955823,0.0000
2024-10-31,44.8000,44.9800,42.8400,43.2000,42.4751,98138912,0.0000
2024-09-30,43.2700,45.5799,43.2332,44.6700,43.9204,102700704,0.3115
2024-08-30,41.6200,43.6700,40.5300,43.5500,42.5240,140183572,0.0000
2024-07-31,38.3200,41.6400,37.8100,41.1900,40.2196,119334024,0.0000
2024-06-28,38.1200,39.0250,37.5300,38.4100,37.5051,91741445,0.3871
2024-05-31,36.1800,39.0075,36.0750,38.0500,36.7823,177320028,0.0000
2024-04-30,39.6100,39.6200,35.5699,36.1900,34.9842,193577720,0.0000
2024-03-28,39.0100,40.3300,38.2800,39.5300,38.2129,133752208,0.2636
2024-02-29,38.0500,39.3200,37.0750,39.1100,37.5516,174524212,0.0000
2024-01-31,39.9700,40.4500,38.0350,38.1300,36.6107,137881500,0.0000
2023-12-29,37.2200,40.7500,37.1100,40.0600,38.4638,120414624,0.4208
2023-11-30,33.1400,37.2650,32.9050,37.2300,35.3695,131815923,0.0000
2023-10-31,33.9400,34.9700,31.9900,33.1000,31.4459,172957779,0.0000
2023-09-29,37.2500,37.3050,33.4591,34.0700,32.3674,102200527,0.2910
2023-08-31,38.0900,38.2750,35.5750,37.0200,34.8893,108104631,0.0000
2023-07-31,37.5400,39.1999,37.2600,38.1900,35.9920,106699751,0.0000
2023-06-30,36.0100,38.0600,35.6800,37.6900,35.5208,96409341,0.3589
2023-05-31,37.6300,37.8300,35.0400,36.0400,33.6389,89313970,0.0000
2023-04-28,37.2900,37.8800,36.3400,37.7500,35.2349,93145025,0.0000
2023-03-31,37.9700,38.9600,34.3400,37.3800,34.8896,164055721,0.2559
2023-02-28,40.4200,42.2100,37.9440,38.2100,35.4151,108062300,0.0000
2023-01-31,37.2300,40.6450,36.6100,40.5900,37.6210,113151595,0.0000
2022-12-30,39.6300,40.0000,36.0950,36.9300,34.2287,124255972,0.4207
2022-11-30,37.1000,39.2700,35.0300,39.2400,35.9569,148771707,0.0000
2022-10-31,36.5800,37.6000,33.1250,36.7300,33.6569,175873208,0.0000
2022-09-30,41.5300,43.4750,35.4200,36.0100,32.9971,127861705,0.3638
2022-08-31,44.1400,45.8650,41.7500,41.8500,38.0021,71983973,0.0000
2022-07-29,40.7800,44.5400,39.9900,44.3400,40.2632,82317515,0.0000
2022-06-30,44.3900,44.4200,38.6300,40.8600,37.1031,154698767,0.3124
