CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access
Afghanistan,7505489.389774147,1810768.6257455323,24.12592346360004
Albania,1210948.960905237,795113.4734197841,65.66036216963283
Algeria,16258144.398627654,6485825.905534613,39.89278079042083
Angola,13909358.124271356,2073320.82851631,14.905941812645086
Argentina,23893682.844646405,14597427.660656858,61.09325111397611
Armenia,1215072.7535930513,880748.747805595,72.48526849122096
Australia,13453374.09673627,9712719.1147847,72.19541391583665
Austria,2668292.5616396703,2596068.8300264026,97.29326039237294
Azerbaijan,2843812.5916832816,1169412.0883291913,41.12127823574353
Bahamas,170816.971603393,7177.751214027396,4.202012918653582
Bahrain,1514945.4589769803,218152.3480508328,14.40001333105073
Bangladesh,70315599.9406973,14025875.747377401,19.947032748361003
Barbados,112145.85157394412,55820.11654043196,49.774571022474774
Belarus,4612884.644144582,4095285.6103948406,88.77927644675093
Belgium,3783405.30829447,3579572.6796893426,94.6124559227567
Belize,21148.61987113951,5175.060368537901,24.469967307890634
Benin,2415530.094445831,409977.9703979493,16.972587977298875
Bhutan,3500.137038230896,2170.3819971084604,62.008486336450844
Bolivia,3320657.3828057037,1138891.1670386812,34.29715974119572
Bosnia and Herzegovina,393199.005224257,187157.329806089,47.59862749381722
Botswana,192070.56328654295,65014.15384197235,33.84909833631307
Brazil,113582162.61405781,53901277.8197571,47.45575940731899
Brunei,33187.649443149596,4594.1973032951355,13.843093380761992
Bulgaria,1199843.0456687761,833977.8091487938,69.5072419812998
Burkina Faso,3175921.68481196,1663307.661631592,52.372439458628314
Burundi,1386951.7847740648,418417.8265991211,30.168159498585712
Cambodia,2685671.9736685804,960229.9636540436,35.7538066103578
Cameroon,6613924.556585619,757882.0379288198,11.45888543851292
Canada,21097944.081372708,16633057.194370424,78.83733661544626
Cape Verde,19490.644214630127,18294.055847644802,93.8607038648464
Central African Republic,879941.4457638292,68851.35236215591,7.824537950066644
Chad,890734.1088368318,557107.4558813571,62.5447538557671
Chile,9601085.748557838,4370935.034847253,45.52542440841968
China,563573399.5568962,205492892.28633744,36.4624896150003
Colombia,21581324.851571288,7737795.113850598,35.85412465207031
Comoros,61923.824344158245,16506.755520820618,26.65655052097542
Costa Rica,2125787.08621418,865635.9624152177,40.720727302790756
Croatia,893860.5868231641,777248.7400766625,86.95413485441311
Cuba,3089380.3495119787,1771273.596859925,57.334267602877986
Curaçao,113511.19785761832,87913.64708852758,77.44931667340981
Cyprus,432495.7386559997,204058.79060037414,47.18168813281171
Czech Republic,1973623.2693482873,1883909.7448386343,95.45437440351637
Côte d'Ivoire,7307194.904384989,4572141.7815964585,62.570409595243625
Democratic Republic of the Congo,15623765.33950466,2084710.3487868311,13.343200588885223
Denmark,1744332.576098397,1617109.1333078505,92.70646867840358
Djibouti,253394.2020149826,51287.12114715576,20.24005314222749
Dominican Republic,5803317.067259475,945560.5202140802,16.29344923351924
Ecuador,6675696.987323298,2881883.5985679524,43.16977843722471
Egypt,59834039.87187399,10455280.920180798,17.473800770546802
El Salvador,2092145.3004641673,311027.9802751542,14.866461722622656
Equatorial Guinea,64128.78702491529,8315.999872922892,12.967655024711386
Eritrea,254953.23012307647,166507.53342413902,65.30905034768885
Estonia,405543.31115793495,394576.32701050746,97.29573048163122
Ethiopia,12976277.44367348,8342192.562247767,64.2880255794389
Fiji,216131.29141365,138131.46100151548,63.91090345966981
Finland,1085741.6709255027,1039193.4405551008,95.71277112992048
France,23037640.722540744,22456306.464407817,97.4765894427543
French Polynesia,38011.73383188251,20531.90805244443,54.014658061251595
Gabon,328242.029979169,64192.55798339845,19.556471176915476
Gambia,792569.644386533,54400.088445663445,6.863761289743864
Georgia,1424432.9803813712,706062.3335311407,49.5679574438176
Germany,25838752.538034864,24405302.70483575,94.45232570307307
Ghana,10368447.016875912,3794382.641084909,36.59547697846253
Greece,4725575.433778478,4489711.50900617,95.00877875980245
Guatemala,3764780.491331322,827805.5884680735,21.988150182305592
Guinea,2808723.669553753,535778.3066215508,19.075507940824764
Guinea-Bissau,443684.511195062,20324.310104370117,4.580802257357754
