CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access
Afghanistan,7505489.389774147,430906.62574553234,0.05741219571006535
Albania,1210948.960905237,795113.4734197841,0.6566036216963284
Algeria,16258144.398627654,6205853.905534613,0.3817073925151291
Angola,13909358.124271356,1373390.82851631,0.09873862016104035
Argentina,23893682.844646405,14537433.660656858,0.6084216382705565
Armenia,1215072.7535930513,880748.747805595,0.7248526849122097
Australia,13453374.09673627,9712719.1147847,0.7219541391583666
Austria,2668292.5616396703,2596068.8300264026,0.9729326039237294
Azerbaijan,2843812.5916832816,1009428.0883291914,0.3549559106958243
Bahamas,170816.971603393,7177.751214027396,0.042020129186535825
Bahrain,1514945.4589769803,218152.3480508328,0.1440001333105073
Bangladesh,70315599.9406973,10786199.747377401,0.15339696676803236
Barbados,112145.85157394412,55820.11654043196,0.49774571022474773
Belarus,4612884.644144582,4095285.6103948406,0.8877927644675092
Belgium,3783405.30829447,3579572.6796893426,0.946124559227567
Belize,21148.61987113951,5175.060368537901,0.24469967307890636
Benin,2415530.094445831,50013.97039794928,0.020705173788953948
Bhutan,3500.137038230896,2170.3819971084604,0.6200848633645084
Bolivia,3320657.3828057037,1078897.1670386812,0.3249046928554535
Bosnia and Herzegovina,393199.005224257,187157.329806089,0.4759862749381722
Botswana,192070.56328654295,-54973.84615802765,-0.2862169257868745
Brazil,113582162.61405781,52441423.8197571,0.4617047484643204
Brunei,33187.649443149596,4594.1973032951355,0.13843093380761992
Bulgaria,1199843.0456687761,833977.8091487938,0.695072419812998
Burkina Faso,3175921.68481196,1103363.661631592,0.3474152611848551
Burundi,1386951.7847740648,-401500.1734008789,-0.2894838723368336
Cambodia,2685671.9736685804,840241.9636540436,0.31286097926035544
Cameroon,6613924.556585619,-162025.96207118026,-0.02449770339606425
Canada,21097944.081372708,16613059.194370424,0.7874255012855982
Cape Verde,19490.644214630127,-1703.9441523551977,-0.08742369588154392
Central African Republic,879941.4457638292,-51136.647637844086,-0.05811369368271448
Chad,890734.1088368318,-402796.5441186429,-0.45220738728040427
Chile,9601085.748557838,4290943.034847253,0.44692268637344357
China,563513405.5568962,182655176.28633744,0.324136346154582
Colombia,21581324.851571288,6737895.113850598,0.31220952189874607
Comoros,61923.824344158245,-3491.2444791793823,-0.056379665115252824
Costa Rica,2125787.08621418,865635.9624152177,0.40720727302790755
Croatia,893860.5868231641,777248.7400766625,0.8695413485441311
Cuba,3089380.3495119787,1771273.596859925,0.5733426760287799
Curaçao,113511.19785761832,87913.64708852758,0.7744931667340981
Cyprus,432495.7386559997,204058.79060037414,0.47181688132811705
Czech Republic,1973623.2693482873,1883909.7448386343,0.9545437440351636
Côte d'Ivoire,7307194.904384989,4232175.7815964585,0.5791792660486945
Democratic Republic of the Congo,15623765.33950466,-894991.6512131689,-0.05728399215969945
Denmark,1744332.576098397,1617109.1333078505,0.9270646867840358
Djibouti,253394.2020149826,-8706.878852844235,-0.03436100267333432
Dominican Republic,5803317.067259475,745580.5202140802,0.1284748897178849
Ecuador,6675696.987323298,2681903.5985679524,0.4017413617874969
Egypt,59834039.87187399,7435582.9201807985,0.12427011340205395
El Salvador,2092145.3004641673,211037.98027515417,0.10087156959334177
Equatorial Guinea,64128.78702491529,8315.999872922892,0.12967655024711386
Eritrea,234955.23012307647,-113464.46657586098,-0.48291951839686625
Estonia,405543.31115793495,394576.32701050746,0.9729573048163123
Ethiopia,12976277.44367348,-2476725.437752233,-0.19086563527198228
Fiji,216131.29141365,138131.46100151548,0.6391090345966981
Finland,1085741.6709255027,1039193.4405551008,0.9571277112992048
France,22877656.722540744,22296322.464407817,0.9745894317244408
French Polynesia,38011.73383188251,20531.90805244443,0.540146580612516
Gabon,328242.029979169,-15799.442016601552,-0.04813351299833303
Gambia,792569.644386533,34402.088445663445,0.04340576085561724
Georgia,1424432.9803813712,706062.3335311407,0.49567957443817595
Germany,25838752.538034864,24405302.70483575,0.9445232570307307
Ghana,10368447.016875912,3054456.641084909,0.29459152717021253
Greece,4725575.433778478,4489711.50900617,0.9500877875980246
Guatemala,3764780.491331322,107877.58846807356,0.028654416563321412
Guinea,2808723.669553753,215810.30662155082,0.07683572042380321
Guinea-Bissau,443684.511195062,-19671.689895629883,-0.04433711206786165
Guyana,113851.21725630753,-19998.0,-0.1756502959031128
Haiti,4196959.369681573,91094.31720471394,0.021704836568771774
Honduras,2006378.769168418,46721.82188796993,0.02328664089051076
Hungary,2692514.0787720624,2637359.9561055796,0.9795157532874865
Iceland,121146.3160974982,115026.259044528,0.9494821035412682
India,349410010.5147836,64345943.18465096,0.18415598079130724
Indonesia,108900563.73474489,9519579.640581122,0.08741533848960127
Iran,24821783.151887927,8730153.52938904,0.35171339125670475
Iraq,9024144.084419683,-343155.44614934927,-0.038026370472276944
Ireland,1413269.9635733138,1381451.7395042197,0.977486096153459
Israel,3703422.4630591795,3423652.6799354493,0.9244564221569719
Italy,20989614.2431329,16622588.257764274,0.7919434852502174
Jamaica,895668.3248556835,28723.75377082824,0.03206963222178971
Japan,83987933.29293102,63557550.02902285,0.7567462079028473
Jersey,-9999.0,-9999.0,1.0
Jordan,5420735.595890094,237012.7344913481,0.04372335272560554
Kazakhstan,3396788.135652733,905680.6121620506,0.2666285255344644
Kenya,9060127.804365875,964814.3511503947,0.10649014804023757
Kosovo,-69993.0,-69993.0,1.0
Kuwait,2779228.109144207,60160.71014928816,0.02164655357052111
Kyrgyzstan,1617217.411728865,546382.9900476354,0.33785376417851687
Laos,560554.5453677777,143083.12807083115,0.25525281928978893
Latvia,499943.5433585675,435466.430967808,0.8710312129293457
Lebanon,4103977.8929593633,414558.5535363437,0.10101383690383552
Lesotho,197187.7552232741,27239.692469596863,0.1381408923629846
Liberia,1614343.2535381883,-10078.47685718536,-0.006243081720753106
Libya,1911192.7921263524,57485.260631084704,0.0300782112971072
Lithuania,527808.1612839997,452483.18699228787,0.8572872118754878
Luxembourg,129604.48268473159,128991.35420489318,0.9952692340022693
Macedonia,303506.2122620348,39983.39137136935,0.13173829646969246
Madagascar,2933043.992426543,1026612.6154775566,0.3500160986771383
Malawi,2372125.7663073824,-7441.128855258154,-0.003136903178131882
Malaysia,13498076.920298802,6286736.223940189,0.46575051105880216
Maldives,174181.61441361904,174179.08052063,0.9999854525806436
Mali,5148723.268456759,3197307.2062811786,0.620990299841754
Malta,276743.3036687375,224920.6459653378,0.8127410599772575
Mauritania,1324117.0837578496,383029.14838516695,0.28927135906903995
Mauritius,500548.0484963673,215145.52736490956,0.4298199303966939
Mexico,72386813.50369239,11034351.129246285,0.15243592852285773
Moldova,487074.3208063247,328395.9713253976,0.674221483862578
Mongolia,836605.929500338,155541.5707740781,0.18591975658955123
Montenegro,34563.45836544039,30540.68341827388,0.883611908720661
Morocco,16815115.710948925,7297348.937453401,0.43397554098910157
Mozambique,4847618.992821979,886425.2465567421,0.18285786235867538
Myanmar,11386890.94404436,2945127.162186617,0.25864190468312115
Namibia,482639.0516930647,369957.1680239098,0.766529701080187
Nepal,8124522.462822015,960123.1532871703,0.11817594913186762
Netherlands,7588469.797120883,6811839.502582614,0.897656534808516
New Caledonia,44916.71642351151,42075.86273813243,0.9367528637090657
New Zealand,2118950.2471593567,1630218.3975776443,0.769351899490372
Nicaragua,1246001.8460852532,775849.4286527669,0.6226711710663727
Niger,1194457.885289016,-231296.33745312685,-0.19364126630313253
Nigeria,54472446.82960009,-3150924.375517372,-0.05784437011566687
North Korea,3968788.3118215846,388180.10312127974,0.09780821566245589
Norway,1036915.3419058945,876329.1873547968,0.8451308915384226
Oman,583559.9378261564,-85537.56264686584,-0.1465788809381011
Pakistan,61259121.40244784,2656449.9315891173,0.04336415330114363
Palestina,3409085.848687225,716958.3492816102,0.21030809463413702
Panama,1858278.005397709,663320.0662477005,0.35695416096029
