IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Adolescent birth rate (per 1000 women),Afghanistan,AGEGROUP_YEARS15-19,62.0
Adolescent birth rate (per 1000 women),Afghanistan,AGEGROUP_YEARS10-14,18.0
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Afghanistan,SEX_BTSX,265.6645203
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Afghanistan,SEX_BTSX,40.20000076
Age-standardized prevalence of obesity among adults (18+ years) (%),Afghanistan,SEX_BTSX,19.22258949
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Afghanistan,SEX_BTSX,22.70000076
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Afghanistan,,67.95580292
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Afghanistan,,75.18717957
Average of 15 International Health Regulations core capacity scores,Afghanistan,,38.06669998
Density of dentists (per 10 000 population) ,Afghanistan,,0.713999987
Density of medical doctors (per 10 000 population) ,Afghanistan,,2.535000086
Density of nursing and midwifery personnel (per 10 000 population) ,Afghanistan,,4.519999981
Density of pharmacists (per 10 000 population) ,Afghanistan,,0.291999996
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Afghanistan,,69.0
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Afghanistan,,4.050000191
Healthy life expectancy at birth (years),Afghanistan,SEX_FMLE,51.31291199
Healthy life expectancy at birth (years),Afghanistan,SEX_MLE,49.64694977
Healthy life expectancy at birth (years),Afghanistan,SEX_BTSX,50.44624329
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Afghanistan,,0.389999986
Life expectancy at birth (years),Afghanistan,SEX_BTSX,59.12690353
Life expectancy at birth (years),Afghanistan,SEX_FMLE,60.98603821
Life expectancy at birth (years),Afghanistan,SEX_MLE,57.40378189
Malaria incidence (per 1000 population at risk),Afghanistan,,9.064339638
Maternal mortality ratio (per 100 000 live births),Afghanistan,,620.4075317
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Afghanistan,,49.0
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Afghanistan,SEX_BTSX,16.60000038
Mortality rate due to homicide (per 100 000 population),Afghanistan,,8.378230095
Mortality rate from unintentional poisoning (per 100 000 population),Afghanistan,,2.503224373
Neonatal mortality rate (per 1000 live births),Afghanistan,SEX_BTSX,35.48981094
New HIV infections (per 1000 uninfected population),Afghanistan,SEX_BTSX,0.029999999
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Afghanistan,,6.0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Afghanistan,,67.0
Population with household expenditures on health > 10% of total household expenditure or income (%),Afghanistan,,26.07999992
Population with household expenditures on health > 25% of total household expenditure or income (%),Afghanistan,,8.029999733
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Afghanistan,SEX_FMLE,42.59999847
Prevalence of obesity among children and adolescents (5–19 years) (%),Afghanistan,SEX_BTSX,8.46243
Prevalence of overweight in children under 5 (%),Afghanistan,,3.700000048
Prevalence of stunting in children under 5 (%),Afghanistan,,33.09999847
Prevalence of wasting in children under 5 (%),Afghanistan,,3.6
"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 (%)",Afghanistan,,34.44633865
Proportion of births attended by skilled health personnel (%),Afghanistan,,67.5
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Afghanistan,,35.0
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Afghanistan,,46.0
Proportion of population using a hand-washing facility with soap and water (%),Afghanistan,,48.21469879
Proportion of population using safely-managed drinking-water services (%),Afghanistan,,30.03409958
Proportion of population with primary reliance on clean fuels and technology (%),Afghanistan,,36.09999847
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Afghanistan,SEX_FMLE,42.09999847
Reported number of people requiring interventions against NTDs,Afghanistan,,14367281.0
Road traffic mortality rate (per 100 000 population),Afghanistan,,24.10000038
Suicide mortality rate (per 100 000 population),Afghanistan,,3.626155615
Total alcohol per capita (≥ 15 years of age) consumption (litres of pure alcohol),Afghanistan,SEX_BTSX,0.016179999
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",Afghanistan,,7.340000153
Tuberculosis incidence (per 100 000 population),Afghanistan,,185.0
UHC: Service coverage index,Afghanistan,,40.88460922
Under-five mortality rate (per 1000 live births),Afghanistan,SEX_BTSX,57.67967987
Adolescent birth rate (per 1000 women),African Region,AGEGROUP_YEARS10-14,4.308000088
Adolescent birth rate (per 1000 women),African Region,AGEGROUP_YEARS15-19,95.50499725
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,African Region,SEX_BTSX,163.3531494
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),African Region,SEX_BTSX,35.5
Age-standardized prevalence of obesity among adults (18+ years) (%),African Region,SEX_BTSX,12.08423996
