CTR_MN_NM,VALUE_NUMERIC
Afghanistan,60.98603821
Albania,78.61238861
Algeria,76.63874817
Angola,64.25583649
Argentina,77.57790375
Armenia,76.87322235
Australia,84.89781952
Austria,83.30324554
Azerbaijan,75.19257355
Bahamas,73.47279358
Bahrain,75.0946579
Bangladesh,74.56256104
Barbados,78.40878296
Belarus,78.13226318
Belgium,83.68795013
Belize,75.44019318
Benin,66.37542725
Bhutan,75.9397583
Bosnia and Herzegovina,77.19796753
Botswana,63.17931366
Brazil,75.84727478
Bulgaria,74.97959137
Burkina Faso,64.64479065
Burundi,65.94968414
Cambodia,71.45082092
Cameroon,63.7244072
Canada,83.81497955
Central African Republic,55.37900162
Chad,60.66775513
Chile,81.42331696
China,80.52324677
Colombia,77.62155914
Comoros,68.72786713
Costa Rica,81.50602722
Croatia,80.01118469
Cuba,76.50608826
Cyprus,83.96356964
Côte d'Ivoire,65.98000336
Democratic Republic of the Congo,63.91177368
Denmark,82.90091705
Djibouti,66.72945404
Dominican Republic,76.75536346
Ecuador,77.20480347
Egypt,71.70874023
El Salvador,76.24875641
Equatorial Guinea,63.21443939
Eritrea,66.23751068
Estonia,81.19586182
Ethiopia,69.74860382
Fiji,67.67014313
Finland,84.06163788
France,84.68614197
Gabon,67.9184494
Gambia,66.26215363
Georgia,75.59980774
Germany,82.85917664
Ghana,68.6049881
Greece,81.95119476
Guatemala,71.89797211
Guinea,62.47833633
Guinea-Bissau,61.10224915
Guyana,69.31385803
Haiti,63.20708466
Honduras,70.53263092
Hungary,77.82603455
Iceland,83.88967133
India,69.01961517
Indonesia,70.17754364
Iraq,73.91197205
Ireland,83.35086823
Israel,82.09316254
Italy,84.32794952
Jamaica,72.7726059
Japan,87.15803528
Jordan,76.98049927
Kazakhstan,73.93874359
Kenya,69.21556854
Kuwait,81.75064087
Kyrgyzstan,75.75667572
Latvia,77.89727783
Lebanon,77.49569702
Lesotho,54.60295105
Liberia,64.26883698
Libya,74.21006775
Lithuania,78.64626312
Luxembourg,84.78574371
Madagascar,64.02700806
Malawi,65.26952362
Malaysia,75.31574249
Maldives,76.59470367
Mali,62.28961563
Malta,83.7301178
Mauritania,69.36220551
Mauritius,76.90869904
Mexico,74.68952179
Mongolia,73.858284
Montenegro,77.87943268
Morocco,73.71494293
Mozambique,60.54787064
Myanmar,71.14627838
Namibia,63.44307327
Nepal,71.79351807
New Zealand,84.014534
Nicaragua,77.67507172
Niger,60.93901062
Nigeria,64.77942657
Norway,84.25270081
Oman,74.86314392
Pakistan,66.93027496
Panama,80.29103851
Papua New Guinea,66.94528961
Paraguay,73.16442871
Peru,74.80744934
Philippines,69.88256073
Poland,79.39878845
Portugal,83.88307953
Puerto Rico,83.51311493
Qatar,77.97981262
Romania,76.52390289
Rwanda,69.40378571
Saudi Arabia,77.36849976
Senegal,69.47214508
Serbia,75.62155151
Sierra Leone,61.8902626
Singapore,86.25122833
Slovakia,78.01091766
Slovenia,83.39120483
Solomon Islands,67.33435822
Somalia,56.33251953
South Africa,64.015625
South Sudan,60.61474228
Spain,85.29773712
Sri Lanka,80.05458832
Sudan,68.89340973
Suriname,72.70139313
Sweden,84.31275177
Switzerland,85.1147995
Tajikistan,73.49938965
Thailand,78.96816254
Timor-Leste,69.56258392
Togo,66.41722107
Trinidad and Tobago,75.15306091
Tunisia,76.84116364
Turkmenistan,72.49741364
Uganda,68.98082733
Ukraine,75.33701324
United Arab Emirates,80.01707459
United Kingdom,81.93070984
Uruguay,78.74074554
Uzbekistan,74.1125412
Yemen,68.56819153
Zambia,63.10931396
Zimbabwe,60.5333786
