IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Age-standardized prevalence of obesity among adults (18+ years) (%),Afghanistan,SEX_BTSX,19.22258949
Life expectancy at birth (years),Afghanistan,SEX_BTSX,59.12690353
Life expectancy at birth (years),Afghanistan,SEX_FMLE,60.98603821
Life expectancy at birth (years),Afghanistan,SEX_MLE,57.40378189
Age-standardized prevalence of obesity among adults (18+ years) (%),African Region,SEX_BTSX,12.08423996
Life expectancy at birth (years),African Region,SEX_MLE,61.7413063
Life expectancy at birth (years),African Region,SEX_FMLE,65.37137604
Life expectancy at birth (years),African Region,SEX_BTSX,63.55244064
Age-standardized prevalence of obesity among adults (18+ years) (%),Albania,SEX_BTSX,23.36018944
Life expectancy at birth (years),Albania,SEX_MLE,74.36082459
Life expectancy at birth (years),Albania,SEX_BTSX,76.39089203
Life expectancy at birth (years),Albania,SEX_FMLE,78.61238861
Age-standardized prevalence of obesity among adults (18+ years) (%),Algeria,SEX_BTSX,23.81498909
Life expectancy at birth (years),Algeria,SEX_MLE,75.50643158
Life expectancy at birth (years),Algeria,SEX_FMLE,76.63874817
Life expectancy at birth (years),Algeria,SEX_BTSX,75.9776535
Age-standardized prevalence of obesity among adults (18+ years) (%),Andorra,SEX_BTSX,18.09918022
Age-standardized prevalence of obesity among adults (18+ years) (%),Angola,SEX_BTSX,11.47373009
Life expectancy at birth (years),Angola,SEX_BTSX,62.13113403
Life expectancy at birth (years),Angola,SEX_MLE,60.00746155
Life expectancy at birth (years),Angola,SEX_FMLE,64.25583649
Age-standardized prevalence of obesity among adults (18+ years) (%),Antigua and Barbuda,SEX_BTSX,33.25090027
Life expectancy at birth (years),Antigua and Barbuda,SEX_BTSX,76.91526794
Life expectancy at birth (years),Antigua and Barbuda,SEX_FMLE,78.41726685
Life expectancy at birth (years),Antigua and Barbuda,SEX_MLE,75.20633698
Age-standardized prevalence of obesity among adults (18+ years) (%),Argentina,SEX_BTSX,35.35520172
Life expectancy at birth (years),Argentina,SEX_BTSX,74.56897736
Life expectancy at birth (years),Argentina,SEX_MLE,71.5945282
Life expectancy at birth (years),Argentina,SEX_FMLE,77.57790375
Age-standardized prevalence of obesity among adults (18+ years) (%),Armenia,SEX_BTSX,24.50904083
Life expectancy at birth (years),Armenia,SEX_BTSX,72.98458099
Life expectancy at birth (years),Armenia,SEX_FMLE,76.87322235
Life expectancy at birth (years),Armenia,SEX_MLE,68.59851074
Age-standardized prevalence of obesity among adults (18+ years) (%),Australia,SEX_BTSX,30.24390984
Life expectancy at birth (years),Australia,SEX_MLE,81.30883026
Life expectancy at birth (years),Australia,SEX_BTSX,83.10183716
Life expectancy at birth (years),Australia,SEX_FMLE,84.89781952
Age-standardized prevalence of obesity among adults (18+ years) (%),Austria,SEX_BTSX,15.36754036
Life expectancy at birth (years),Austria,SEX_FMLE,83.30324554
Life expectancy at birth (years),Austria,SEX_BTSX,80.99297333
Life expectancy at birth (years),Austria,SEX_MLE,78.65946198
Age-standardized prevalence of obesity among adults (18+ years) (%),Azerbaijan,SEX_BTSX,26.54887962
Life expectancy at birth (years),Azerbaijan,SEX_BTSX,72.91294098
