CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access,IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Afghanistan,7505489.389774147,430906.62574553234,0.0574121957100653,Age-standardized prevalence of obesity among adults (18+ years) (%),Afghanistan,SEX_BTSX,19.22258949
Afghanistan,7505489.389774147,430906.62574553234,0.0574121957100653,Life expectancy at birth (years),Afghanistan,SEX_BTSX,59.12690353
Afghanistan,7505489.389774147,430906.62574553234,0.0574121957100653,Life expectancy at birth (years),Afghanistan,SEX_FMLE,60.98603821
Afghanistan,7505489.389774147,430906.62574553234,0.0574121957100653,Life expectancy at birth (years),Afghanistan,SEX_MLE,57.40378189
Albania,1210948.960905237,795113.4734197841,0.6566036216963284,Age-standardized prevalence of obesity among adults (18+ years) (%),Albania,SEX_BTSX,23.36018944
Albania,1210948.960905237,795113.4734197841,0.6566036216963284,Life expectancy at birth (years),Albania,SEX_MLE,74.36082459
Albania,1210948.960905237,795113.4734197841,0.6566036216963284,Life expectancy at birth (years),Albania,SEX_BTSX,76.39089203
Albania,1210948.960905237,795113.4734197841,0.6566036216963284,Life expectancy at birth (years),Albania,SEX_FMLE,78.61238861
Algeria,16258144.398627654,6205853.905534613,0.3817073925151291,Age-standardized prevalence of obesity among adults (18+ years) (%),Algeria,SEX_BTSX,23.81498909
Algeria,16258144.398627654,6205853.905534613,0.3817073925151291,Life expectancy at birth (years),Algeria,SEX_MLE,75.50643158
Algeria,16258144.398627654,6205853.905534613,0.3817073925151291,Life expectancy at birth (years),Algeria,SEX_FMLE,76.63874817
Algeria,16258144.398627654,6205853.905534613,0.3817073925151291,Life expectancy at birth (years),Algeria,SEX_BTSX,75.9776535
Angola,13909358.124271356,1373390.82851631,0.0987386201610403,Age-standardized prevalence of obesity among adults (18+ years) (%),Angola,SEX_BTSX,11.47373009
Angola,13909358.124271356,1373390.82851631,0.0987386201610403,Life expectancy at birth (years),Angola,SEX_BTSX,62.13113403
Angola,13909358.124271356,1373390.82851631,0.0987386201610403,Life expectancy at birth (years),Angola,SEX_MLE,60.00746155
Angola,13909358.124271356,1373390.82851631,0.0987386201610403,Life expectancy at birth (years),Angola,SEX_FMLE,64.25583649
