open,high,low,close,adjusted_close,volume,dividend_amount
243.74,256.52,243.64,249.2,249.2,16977083,1.68
232.86,245.69,232.07,245.55,243.9057,20198202,0.0
238.065,249.34,224.4401,232.41,230.8537,39218052,0.0
239.77,243.2999,235.89,238.81,237.2108,16190928,0.0
219.24,237.58,214.5,235.48,233.9031,31932696,0.0
242.74,252.79,226.88,227.48,225.9567,28005665,0.0
247.31,254.32,242.07,244.0,242.3661,18354282,0.0
249.25,254.63,237.224,243.87,242.2369,27866866,0.0
261.56,266.45,241.68,248.35,246.6869,25513710,0.0
254.735,261.96,245.1823,261.54,259.7886,22284160,0.0
261.5,263.845,246.54,252.44,250.7496,25541761,0.0
261.93,265.09,259.83,261.48,259.729,18534169,0.0
250.86,261.94,246.87,261.28,259.5304,19898073,1.67
252.4,265.72,251.84,252.34,248.9822,30149848,0.0
222.19,261.8,219.84,255.7,252.2974,39048997,0.0
224.99,227.45,220.35,224.8,221.8086,15594637,0.0
217.89,225.955,214.61,224.79,221.7988,18990367,0.0
223.0,226.711,216.8,219.75,216.8258,12337094,0.0
220.54,223.66,217.6,222.65,219.6872,10819153,0.0
222.81,225.4,221.08,222.78,219.8155,9272351,0.0
230.73,231.03,220.03,223.36,220.3878,28267440,0.0
238.0,239.35,227.8,230.82,227.7485,20886084,0.0
227.5,238.38,225.51,238.04,234.8724,18743737,0.0
223.35,230.36,222.65,227.41,224.3839,17274177,0.0
207.0,227.2,205.3701,222.97,220.003,21386866,0.0
214.4,215.41,204.07,204.99,202.2622,19438346,1.67
207.65,216.7,205.57,213.72,209.2191,15846890,0.0
215.5,216.25,203.51,208.25,203.8643,26467891,0.0
231.21,233.34,214.385,214.67,210.1491,31380820,0.0
233.57,237.37,230.17,232.2,227.3099,18477394,0.0
225.38,235.83,225.02,233.26,228.3475,18398213,0.0
220.65,226.08,215.798,226.0,221.2404,17778630,0.0
218.0,224.15,217.27,220.84,216.1891,16300165,0.0
215.88,218.84,210.37,217.7,213.1152,28532770,0.0
201.94,216.09,201.43,214.79,210.2665,21518747,0.0
201.91,205.95,199.335,200.74,196.5124,13519865,0.0
196.0,202.17,195.9,202.13,197.8731,15570283,0.0
193.84,197.92,193.715,196.1,191.9701,11022549,0.0
191.25,194.35,189.0001,193.78,189.699,11330854,0.0
184.55,192.88,181.81,191.45,187.4181,18895865,1.67
