OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
1,AFG,Afghanistan,N/A,-,2735.464225530623025,-9999.000000000000000,-9999.000000000000000,0.128492986868403,0.000490810884092
2,AFG,Afghanistan,Ghurian,Ghurian,929.483666896819386,-9999.000000000000000,-9999.000000000000000,0.105674536793567,0.000586419715481
3,AFG,Afghanistan,N/A,-,96.640578329563169,-9999.000000000000000,-9999.000000000000000,0.061115389049543,0.000196874315913
4,AFG,Afghanistan,Toraghundi,Toraghundi,14976.737287521338658,-9999.000000000000000,-9999.000000000000000,0.145351697082875,0.000691669140555
5,AFG,Afghanistan,Herat,Herat,317854.237989427172579,-9999.000000000000000,-9999.000000000000000,0.518800308623641,0.005864206490089
6,AFG,Afghanistan,Guzarah,Guzarah,28410.184441566503665,-9999.000000000000000,-9999.000000000000000,0.242931920080354,0.001561101167293
7,AFG,Afghanistan,Shindand,Shindand; Sabzawar,15750.448311805695994,-9999.000000000000000,-9999.000000000000000,0.183949775568201,0.001158670867714
8,AFG,Afghanistan,N/A,-,4223.235789179801031,-9999.000000000000000,-9999.000000000000000,0.101535240479837,0.000483234103967
9,AFG,Afghanistan,Qala i Naw,Qala i Naw,7837.722469329836713,-9999.000000000000000,-9999.000000000000000,0.083883339984992,0.000295502177161
10,AFG,Afghanistan,Farah,Farah,21129.438318967844680,-9999.000000000000000,-9999.000000000000000,0.226750101990687,0.001528784265581
11,AFG,Afghanistan,N/A,-,17.354342043399818,-9999.000000000000000,-9999.000000000000000,0.041369804381851,0.000096838232798
12,AFG,Afghanistan,Zaranj,Zaranj,17272.866268157969898,-9999.000000000000000,-9999.000000000000000,0.161752467884817,0.000941057649513
13,AFG,Afghanistan,N/A,-,1906.048878788946467,-9999.000000000000000,-9999.000000000000000,0.169885605373128,0.000898255867709
14,AFG,Afghanistan,Koh-i-Sayad,Koh-i-Sayad,10994.826340079318470,-9999.000000000000000,-9999.000000000000000,0.308697750708942,0.002302028920540
15,AFG,Afghanistan,Maymana,Maymana,51416.153644561825786,-9999.000000000000000,-9999.000000000000000,0.172765225553261,0.001195747845638
16,AFG,Afghanistan,N/A,-,272.014311909675598,-9999.000000000000000,-9999.000000000000000,0.164427430974822,0.000784799451944
17,AFG,Afghanistan,Sheberghan,Sheberghan,44270.120256185495236,-9999.000000000000000,-9999.000000000000000,0.233990159573639,0.002012134348618
18,AFG,Afghanistan,Sar-e Pol,Sar-e Pol,38253.784597754434799,-9999.000000000000000,-9999.000000000000000,0.252792217585205,0.001600391120377
19,AFG,Afghanistan,N/A,-,35.823264926671989,-9999.000000000000000,-9999.000000000000000,0.041536957751772,0.000096955191969
20,AFG,Afghanistan,Lashkar Gah,Lashkar Gah,30990.005520582199097,-9999.000000000000000,-9999.000000000000000,0.266555256463482,0.002178860777101
21,AFG,Afghanistan,Tukzar,Tukzar,6036.185772180558160,-9999.000000000000000,-9999.000000000000000,0.167219912259406,0.000897216976929
22,AFG,Afghanistan,Garmsir,Garmsir,325.641707807779142,-9999.000000000000000,-9999.000000000000000,0.125133888445698,0.000565629274722
23,AFG,Afghanistan,Musa Qal`eh,Musa Qal`eh,350.336153864860535,-9999.000000000000000,-9999.000000000000000,0.082068918544667,0.000286551571481
24,AFG,Afghanistan,Girishk,Girishk,3668.680356621738156,-9999.000000000000000,-9999.000000000000000,0.163366954126033,0.000759749490822
25,AFG,Afghanistan,N/A,-,53.549375027418151,-9999.000000000000000,-9999.000000000000000,0.042081356107526,0.000098400545725
26,AFG,Afghanistan,Mazar i sharif,Mazar i sharif,507358.719144104863517,5158.215200424196155,1.016680113259099,0.346255516967167,0.004630474580323
27,AFG,Afghanistan,Sangin,Sangin,3875.927211999886822,-9999.000000000000000,-9999.000000000000000,0.081883201421085,0.000285680026131
28,AFG,Afghanistan,N/A,-,94.516058832406969,-9999.000000000000000,-9999.000000000000000,0.061212402783004,0.000195371980226
29,AFG,Afghanistan,N/A,-,66.808742016553893,-9999.000000000000000,-9999.000000000000000,0.041678078205979,0.000097220729189
30,AFG,Afghanistan,Hotal,Hotal,980.949736148120110,-9999.000000000000000,-9999.000000000000000,0.166485228693452,0.000663396379161
31,AFG,Afghanistan,Dehi,Dehi,252.522683620452710,-9999.000000000000000,-9999.000000000000000,0.085200551706760,0.000299075273290
32,AFG,Afghanistan,Kholm,Kholm,6562.377147555356714,-9999.000000000000000,-9999.000000000000000,0.171853484866978,0.001107172021186
33,AFG,Afghanistan,Tarinkot,Tarinkot,20151.953126668926416,-9999.000000000000000,-9999.000000000000000,0.183743194185964,0.001149783388176
34,AFG,Afghanistan,N/A,-,376.207158625126056,-9999.000000000000000,-9999.000000000000000,0.082562513758223,0.000288171558987
35,AFG,Afghanistan,Kandahar,Kandahar,279287.077036023314577,-9999.000000000000000,-9999.000000000000000,0.547040621917582,0.006348905013510
36,AFG,Afghanistan,N/A,-,73.624601736664786,-9999.000000000000000,-9999.000000000000000,0.063858902338199,0.000193443902537
37,AFG,Afghanistan,Samangan,Samangan,5571.439632058143616,-9999.000000000000000,-9999.000000000000000,0.128363930138431,0.000700623941080
38,AFG,Afghanistan,N/A,-,51407.942241191856738,-9999.000000000000000,-9999.000000000000000,0.222719265158861,0.001703466010012
39,AFG,Afghanistan,N/A,-,75.001115441322355,-9999.000000000000000,-9999.000000000000000,0.041859321924824,0.000097549862685
40,AFG,Afghanistan,N/A,-,43.241685211658506,-9999.000000000000000,-9999.000000000000000,0.041738606856506,0.000097200940122
41,AFG,Afghanistan,Kunduz,Kunduz,151710.745553255284904,-9999.000000000000000,-9999.000000000000000,0.344418871803847,0.003523688220790
42,AFG,Afghanistan,N/A,-,202.937152743339624,-9999.000000000000000,-9999.000000000000000,0.082951487037899,0.000289428576523
43,AFG,Afghanistan,Bamian,Bamian,11291.375024914726964,-9999.000000000000000,-9999.000000000000000,0.146041927848934,0.000982942174029
44,AFG,Afghanistan,Baghlan,Baghlan,12103.195822000488988,-9999.000000000000000,-9999.000000000000000,0.128383257124524,0.000699818722164
45,AFG,Afghanistan,Puli Khumri,Puli Khumri,92874.527042388988775,2308.083267211914063,2.485162875885736,0.341553514042044,0.002193354826446
46,AFG,Afghanistan,Khanabad,Khanabad,18881.125502824772411,-9999.000000000000000,-9999.000000000000000,0.278444057680205,0.001811221660630
47,AFG,Afghanistan,Chaman,Chaman,13317.732388675220136,2718.328103303909302,20.411343492796522,0.284369459815465,0.002728114075517
48,AFG,Afghanistan,N/A,-,136.590298831462775,-9999.000000000000000,-9999.000000000000000,0.041459242979445,0.000096367432849
49,AFG,Afghanistan,Chayab,Chayab,12107.420564174657557,-9999.000000000000000,-9999.000000000000000,0.130317922389913,0.000812579847899
50,AFG,Afghanistan,Nahrin,Nahrin,7157.032876491548450,-9999.000000000000000,-9999.000000000000000,0.108307675400786,0.000499133207805
51,AFG,Afghanistan,Taloqan,Taloqan,104042.644359826896107,-9999.000000000000000,-9999.000000000000000,0.393300847569888,0.003624859447315
52,AFG,Afghanistan,Rustaq,Rustaq,16490.889180302638124,-9999.000000000000000,-9999.000000000000000,0.305824054837007,0.001923295318530
53,AFG,Afghanistan,N/A,-,65.866999417543383,-9999.000000000000000,-9999.000000000000000,0.041516872231648,0.000096481738595
54,AFG,Afghanistan,Muqer,Muqer,137.683283984661131,-9999.000000000000000,-9999.000000000000000,0.041359365138764,0.000096028309813
55,AFG,Afghanistan,Charikar,Charikar,48084.619265079534671,12252.659667968751819,25.481453020190703,0.205863873568588,0.001182548106385
56,AFG,Afghanistan,Ghazni,Ghazni,25794.709057807875070,-9999.000000000000000,-9999.000000000000000,0.202306232958519,0.001065156523844
57,AFG,Afghanistan,Golbahar,Golbahar,30479.420294046409253,-9999.000000000000000,-9999.000000000000000,0.251421017195645,0.001381646762302
